Name,Type,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,Horsepower(HP),City Miles Per Gallon,Highway Miles Per Gallon,Weight,Wheel Base,Len,Width
Acura 3.5 RL 4dr,Sedan,0,0,43755.0,39014.0,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0,72.0
Acura 3.5 RL w/Navigation 4dr,Sedan,0,0,46100.0,41100.0,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0,72.0
Acura MDX,SUV,1,0,36945.0,33337.0,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,77.0
Acura NSX coupe 2dr manual S,Sports Car,0,1,89765.0,79978.0,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,71.0
Acura RSX Type S 2dr,Sedan,0,0,23820.0,21761.0,2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0,68.0
Acura TL 4dr,Sedan,0,0,33195.0,30299.0,3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0,72.0
Acura TSX 4dr,Sedan,0,0,26990.0,24647.0,2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0,69.0
Audi A4 1.8T 4dr,Sedan,0,0,25940.0,23508.0,1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,70.0
Audi A4 3.0 4dr,Sedan,0,0,31840.0,28846.0,3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,70.0
Audi A4 3.0 convertible 2dr,Sedan,0,0,42490.0,38325.0,3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0,70.0
Audi A4 3.0 Quattro 4dr auto,Sedan,1,0,34480.0,31388.0,2.8,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,70.0
Audi A4 3.0 Quattro 4dr manual,Sedan,1,0,33430.0,30366.0,3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,70.0
Audi A4 3.0 Quattro convertible 2dr,Sedan,1,0,44240.0,40075.0,3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0,70.0
Audi A41.8T convertible 2dr,Sedan,0,0,35940.0,32506.0,1.8,4.0,170.0,23.0,30.0,3638.0,105.0,180.0,70.0
Audi A6 2.7 Turbo Quattro 4dr,Sedan,1,0,42840.0,38840.0,2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0,71.0
Audi A6 3.0 4dr,Sedan,0,0,36640.0,33129.0,3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0,71.0
Audi A6 3.0 Avant Quattro,Wagon,1,0,40840.0,37060.0,3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0,71.0
Audi A6 3.0 Quattro 4dr,Sedan,1,0,39640.0,35992.0,3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0,70.0
Audi A6 4.2 Quattro 4dr,Sedan,1,0,49690.0,44936.0,4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0,71.0
Audi A8 L Quattro 4dr,Sedan,1,0,69190.0,64740.0,4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0,75.0
Audi RS 6 4dr,Sports Car,0,0,84600.0,76417.0,4.2,8.0,450.0,15.0,22.0,4024.0,109.0,191.0,78.0
Audi S4 Avant Quattro,Wagon,1,0,49090.0,44446.0,4.2,8.0,340.0,15.0,21.0,3936.0,104.0,179.0,70.0
Audi S4 Quattro 4dr,Sedan,1,0,48040.0,43556.0,4.2,8.0,340.0,14.0,20.0,3825.0,104.0,179.0,70.0
Audi TT 1.8 convertible 2dr (coupe),Sports Car,0,0,35940.0,32512.0,1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0,73.0
Audi TT 1.8 Quattro 2dr (convertible),Sports Car,1,0,37390.0,33891.0,1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0,73.0
Audi TT 3.2 coupe 2dr (convertible),Sports Car,1,0,40590.0,36739.0,3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0,73.0
BMW 325Ci 2dr,Sedan,0,1,30795.0,28245.0,2.5,6.0,184.0,20.0,29.0,3197.0,107.0,177.0,69.0
BMW 325Ci convertible 2dr,Sedan,0,1,37995.0,34800.0,2.5,6.0,184.0,19.0,27.0,3560.0,107.0,177.0,69.0
BMW 325i 4dr,Sedan,0,1,28495.0,26155.0,2.5,6.0,184.0,20.0,29.0,3219.0,107.0,176.0,69.0
BMW 325xi 4dr,Sedan,1,0,30245.0,27745.0,2.5,6.0,184.0,19.0,27.0,3461.0,107.0,176.0,69.0
BMW 325xi Sport,Wagon,1,0,32845.0,30110.0,2.5,6.0,184.0,19.0,26.0,3594.0,107.0,176.0,69.0
BMW 330Ci 2dr,Sedan,0,1,36995.0,33890.0,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,69.0
BMW 330Ci convertible 2dr,Sedan,0,1,44295.0,40530.0,3.0,6.0,225.0,19.0,28.0,3616.0,107.0,177.0,69.0
BMW 330i 4dr,Sedan,0,1,35495.0,32525.0,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,69.0
BMW 330xi 4dr,Sedan,1,0,37245.0,34115.0,3.0,6.0,225.0,20.0,29.0,3483.0,107.0,176.0,69.0
BMW 525i 4dr,Sedan,0,1,39995.0,36620.0,2.5,6.0,184.0,19.0,28.0,3428.0,114.0,191.0,73.0
BMW 530i 4dr,Sedan,0,1,44995.0,41170.0,3.0,6.0,225.0,20.0,30.0,3472.0,114.0,191.0,73.0
BMW 545iA 4dr,Sedan,0,1,54995.0,50270.0,4.4,8.0,325.0,18.0,26.0,3814.0,114.0,191.0,73.0
BMW 745i 4dr,Sedan,0,1,69195.0,63190.0,4.4,8.0,325.0,18.0,26.0,4376.0,118.0,198.0,75.0
BMW 745Li 4dr,Sedan,0,1,73195.0,66830.0,4.4,8.0,325.0,18.0,26.0,4464.0,123.0,204.0,75.0
BMW M3 convertible 2dr,Sports Car,0,1,56595.0,51815.0,3.2,6.0,333.0,16.0,23.0,3781.0,108.0,177.0,70.0
BMW M3 coupe 2dr,Sports Car,0,1,48195.0,44170.0,3.2,6.0,333.0,16.0,24.0,3415.0,108.0,177.0,70.0
BMW X3 3.0i,SUV,1,0,37000.0,33873.0,3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0,73.0
BMW X5 4.4i,SUV,1,0,52195.0,47720.0,4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0,74.0
BMW Z4 convertible 2.5i 2dr,Sports Car,0,1,33895.0,31065.0,2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0,70.0
BMW Z4 convertible 3.0i 2dr,Sports Car,0,1,41045.0,37575.0,3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0,70.0
Buick Century Custom 4dr,Sedan,0,0,22180.0,20351.0,3.1,6.0,175.0,20.0,30.0,3353.0,109.0,195.0,73.0
Buick LeSabre Custom 4dr,Sedan,0,0,26470.0,24282.0,3.8,6.0,205.0,20.0,29.0,3567.0,112.0,200.0,74.0
Buick LeSabre Limited 4dr,Sedan,0,0,32245.0,29566.0,3.8,6.0,205.0,20.0,29.0,3591.0,112.0,200.0,74.0
Buick Park Avenue 4dr,Sedan,0,0,35545.0,32244.0,3.8,6.0,205.0,20.0,29.0,3778.0,107.0,207.0,75.0
Buick Park Avenue Ultra 4dr,Sedan,0,0,40720.0,36927.0,3.8,6.0,240.0,18.0,28.0,3909.0,114.0,207.0,75.0
Buick Rainier,SUV,1,0,37895.0,34357.0,4.2,6.0,275.0,15.0,21.0,4600.0,113.0,193.0,75.0
Buick Regal GS 4dr,Sedan,0,0,28345.0,26047.0,3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0,73.0
Buick Regal LS 4dr,Sedan,0,0,24895.0,22835.0,3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0,73.0
Buick Rendezvous CX,SUV,0,0,26545.0,24085.0,3.4,6.0,185.0,19.0,26.0,4024.0,112.0,187.0,74.0
Cadillac CTS VVT 4dr,Sedan,0,1,30835.0,28575.0,3.6,6.0,255.0,18.0,25.0,3694.0,113.0,190.0,71.0
Cadillac Deville 4dr,Sedan,0,0,45445.0,41650.0,4.6,8.0,275.0,18.0,26.0,3984.0,115.0,207.0,74.0
Cadillac Deville DTS 4dr,Sedan,0,0,50595.0,46362.0,4.6,8.0,300.0,18.0,26.0,4044.0,115.0,207.0,74.0
Cadillac Escaladet,SUV,0,0,52795.0,48377.0,5.3,8.0,295.0,14.0,18.0,5367.0,116.0,199.0,79.0
Cadillac Seville SLS 4dr,Sedan,0,0,47955.0,43841.0,4.6,8.0,275.0,18.0,26.0,3992.0,112.0,201.0,75.0
Cadillac SRX V8,SUV,0,0,46995.0,43523.0,4.6,8.0,320.0,16.0,21.0,4302.0,116.0,195.0,73.0
Cadillac XLR convertible 2dr,Sports Car,0,1,76200.0,70546.0,4.6,8.0,320.0,17.0,25.0,3647.0,106.0,178.0,72.0
Chevrolet Astro,Minivan,1,0,26395.0,23954.0,4.3,6.0,190.0,14.0,17.0,4605.0,111.0,190.0,78.0
Chevrolet Aveo 4dr,Sedan,0,0,11690.0,10965.0,1.6,4.0,103.0,28.0,34.0,2370.0,98.0,167.0,66.0
Chevrolet Aveo LS 4dr hatch,Sedan,0,0,12585.0,11802.0,1.6,4.0,103.0,28.0,34.0,2348.0,98.0,153.0,66.0
Chevrolet Cavalier 2dr,Sedan,0,0,14610.0,13697.0,2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0,69.0
Chevrolet Cavalier 4dr,Sedan,0,0,14810.0,13884.0,2.2,4.0,140.0,26.0,37.0,2676.0,104.0,183.0,68.0
Chevrolet Cavalier LS 2dr,Sedan,0,0,16385.0,15357.0,2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0,69.0
Chevrolet Corvette 2dr,Sports Car,0,1,44535.0,39068.0,5.7,8.0,350.0,18.0,25.0,3246.0,105.0,180.0,74.0
Chevrolet Corvette convertible 2dr,Sports Car,0,1,51535.0,45193.0,5.7,8.0,350.0,18.0,25.0,3248.0,105.0,180.0,74.0
Chevrolet Impala 4dr,Sedan,0,0,21900.0,20095.0,3.4,6.0,180.0,21.0,32.0,3465.0,111.0,200.0,73.0
Chevrolet Impala LS 4dr,Sedan,0,0,25000.0,22931.0,3.8,6.0,200.0,20.0,30.0,3476.0,111.0,200.0,73.0
Chevrolet Impala SS 4dr,Sedan,0,0,27995.0,25672.0,3.8,6.0,240.0,18.0,28.0,3606.0,111.0,200.0,73.0
Chevrolet Malibu 4dr,Sedan,0,0,18995.0,17434.0,2.2,4.0,145.0,24.0,34.0,3174.0,106.0,188.0,70.0
Chevrolet Malibu LS 4dr,Sedan,0,0,20370.0,18639.0,3.5,6.0,200.0,22.0,30.0,3297.0,106.0,188.0,70.0
Chevrolet Malibu LT 4dr,Sedan,0,0,23495.0,21551.0,3.5,6.0,200.0,23.0,32.0,3315.0,106.0,188.0,70.0
Chevrolet Malibu Maxx LS,Wagon,0,0,22225.0,20394.0,3.5,6.0,200.0,22.0,30.0,3458.0,112.0,188.0,70.0
Chevrolet Monte Carlo LS 2dr,Sedan,0,0,21825.0,20026.0,3.4,6.0,180.0,21.0,32.0,3340.0,111.0,198.0,73.0
Chevrolet Monte Carlo SS 2dr,Sedan,0,0,24225.0,22222.0,3.8,6.0,200.0,18.0,28.0,3434.0,111.0,198.0,73.0
Chevrolet Suburban 1500 LT,SUV,0,0,42735.0,37422.0,5.3,8.0,295.0,14.0,18.0,4947.0,130.0,219.0,79.0
Chevrolet Tahoe LT,SUV,1,0,41465.0,36287.0,5.3,8.0,295.0,14.0,18.0,5050.0,116.0,197.0,79.0
Chevrolet Tracker,SUV,0,0,20255.0,19108.0,2.5,6.0,165.0,19.0,22.0,2866.0,98.0,163.0,67.0
Chevrolet TrailBlazer LT,SUV,0,0,30295.0,27479.0,4.2,6.0,275.0,16.0,21.0,4425.0,113.0,192.0,75.0
Chevrolet Venture LS,Minivan,0,0,27020.0,24518.0,3.4,6.0,185.0,19.0,26.0,3699.0,112.0,187.0,72.0
Chrvsler PT Cruiser GT 4dr,Sedan,0,0,25955.0,24172.0,2.4,4.0,220.0,21.0,27.0,3217.0,103.0,169.0,67.0
Chrysler 300M 4dr,Sedan,0,0,29865.0,27797.0,3.5,6.0,250.0,18.0,27.0,3581.0,113.0,198.0,74.0
Chrysler 300M Special Edition 4dr,Sedan,0,0,33295.0,30884.0,3.5,6.0,255.0,18.0,27.0,3650.0,113.0,198.0,74.0
Chrysler Concorde LX 4dr,Sedan,0,0,24130.0,22452.0,2.7,6.0,200.0,21.0,29.0,3479.0,113.0,208.0,74.0
Chrysler Concorde LXi 4dr,Sedan,0,0,26860.0,24909.0,3.5,6.0,232.0,19.0,27.0,3548.0,113.0,208.0,74.0
Chrysler Crossfire 2dr,Sports Car,0,1,34495.0,32033.0,3.2,6.0,215.0,17.0,25.0,3060.0,95.0,160.0,70.0
Chrysler Pacifica,Wagon,0,1,31230.0,28725.0,3.5,6.0,250.0,17.0,23.0,4675.0,116.0,199.0,79.0
Chrysler PT Cruiser 4dr,Sedan,0,0,17985.0,16919.0,2.4,4.0,150.0,22.0,29.0,3101.0,103.0,169.0,67.0
Chrysler PT Cruiser Limited 4dr,Sedan,0,0,22000.0,20573.0,2.4,4.0,150.0,22.0,29.0,3105.0,103.0,169.0,67.0
Chrysler Sebring 4dr,Sedan,0,0,19090.0,17805.0,2.4,4.0,150.0,22.0,30.0,3173.0,108.0,191.0,71.0
Chrysler Sebring convertible 2dr,Sedan,0,0,25215.0,23451.0,2.4,4.0,150.0,22.0,30.0,3357.0,106.0,194.0,64.0
Chrysler Sebring Limited convertible 2dr,Sedan,0,0,30950.0,28613.0,2.7,6.0,200.0,21.0,28.0,3448.0,106.0,194.0,69.0
Chrysler Sebring Touring 4dr,Sedan,0,0,21840.0,20284.0,2.7,6.0,200.0,21.0,28.0,3222.0,108.0,191.0,71.0
Chrysler Town and Country Limited,Minivan,0,0,38380.0,35063.0,3.8,6.0,215.0,18.0,25.0,4331.0,119.0,201.0,79.0
Chrysler Town and Country LX,Minivan,0,0,27490.0,25371.0,3.3,6.0,180.0,19.0,26.0,4068.0,119.0,201.0,79.0
CMC Yukon 1500 SLE,SUV,0,0,35725.0,31361.0,4.8,8.0,285.0,16.0,19.0,5042.0,116.0,199.0,79.0
Dodge Caravan SE,Minivan,0,0,21795.0,20508.0,2.4,4.0,150.0,20.0,26.0,3862.0,113.0,189.0,79.0
Dodge Durango SLT,SUV,1,0,32235.0,29472.0,4.7,8.0,230.0,15.0,21.0,4987.0,119.0,201.0,76.0
Dodge Grand Caravan SXT,Minivan,1,0,32660.0,29812.0,3.8,6.0,215.0,18.0,25.0,4440.0,119.0,201.0,79.0
Dodge Intrepid ES 4dr,Sedan,0,0,24885.0,23058.0,3.5,6.0,232.0,18.0,27.0,3487.0,113.0,204.0,75.0
Dodge Intrepid SE 4dr,Sedan,0,0,22035.0,20502.0,2.7,6.0,200.0,21.0,29.0,3469.0,113.0,204.0,75.0
Dodge Neon SE 4dr,Sedan,0,0,13670.0,12849.0,2.0,4.0,132.0,29.0,36.0,2581.0,105.0,174.0,67.0
Dodge Neon SXT 4dr,Sedan,0,0,15040.0,14086.0,2.0,4.0,132.0,29.0,36.0,2626.0,105.0,174.0,67.0
Dodge Stratus SE 4dr,Sedan,0,0,20220.0,18821.0,2.4,4.0,150.0,21.0,28.0,3175.0,108.0,191.0,71.0
Dodge Stratus SXT 4dr,Sedan,0,0,18820.0,17512.0,2.4,4.0,150.0,21.0,28.0,3182.0,108.0,191.0,71.0
Ford Crown Victoria 4dr,Sedan,0,1,24345.0,22856.0,4.6,8.0,224.0,17.0,25.0,4057.0,115.0,212.0,78.0
Ford Crown Victoria LX 4dr,Sedan,0,1,27370.0,25105.0,4.6,8.0,224.0,17.0,25.0,4057.0,115.0,212.0,78.0
Ford Crown Victoria LX Sport 4dr,Sedan,0,1,30315.0,27756.0,4.6,8.0,239.0,17.0,25.0,4057.0,115.0,212.0,78.0
Ford Escape XLS,SUV,1,0,22515.0,20907.0,3.0,6.0,201.0,18.0,23.0,3346.0,103.0,173.0,70.0
Ford Expedition 4.6 XLT,SUV,0,0,34560.0,30468.0,4.6,8.0,232.0,15.0,19.0,5000.0,119.0,206.0,79.0
Ford Explorer XLT V6,SUV,1,0,29670.0,26983.0,4.0,6.0,210.0,15.0,20.0,4463.0,114.0,190.0,72.0
Ford Focus LX 4dr,Sedan,0,0,13730.0,12906.0,2.0,4.0,110.0,27.0,36.0,2606.0,103.0,168.0,67.0
Ford Focus SE 4dr,Sedan,0,0,15460.0,14496.0,2.0,4.0,130.0,26.0,33.0,2606.0,103.0,168.0,67.0
Ford Focus SVT 2dr,Sedan,0,0,19135.0,17878.0,2.0,4.0,170.0,21.0,28.0,2750.0,103.0,168.0,67.0
Ford Focus ZTW,Wagon,0,0,17475.0,16375.0,2.0,4.0,130.0,26.0,33.0,2702.0,103.0,178.0,67.0
Ford Focus ZX3 2dr hatch,Sedan,0,0,13270.0,12482.0,2.0,4.0,130.0,26.0,33.0,2612.0,103.0,168.0,67.0
Ford Focus ZX5 5dr,Sedan,0,0,15580.0,14607.0,2.0,4.0,130.0,26.0,33.0,2691.0,103.0,168.0,67.0
Ford Freestar SE,Minivan,0,0,26930.0,24498.0,3.9,6.0,193.0,17.0,23.0,4275.0,121.0,201.0,77.0
Ford Mustang 2dr (convertible),Sports Car,0,1,18345.0,16943.0,3.8,6.0,193.0,20.0,29.0,3290.0,101.0,183.0,73.0
Ford Mustang GT Premium convertible 2dr,Sports Car,0,1,29380.0,26875.0,4.6,8.0,260.0,17.0,25.0,3347.0,101.0,183.0,73.0
Ford Taurus LX 4dr,Sedan,0,0,20320.0,18881.0,3.0,6.0,155.0,20.0,27.0,3306.0,109.0,198.0,73.0
Ford Taurus SE,Wagon,0,0,22290.0,20457.0,3.0,6.0,155.0,19.0,26.0,3497.0,109.0,198.0,73.0
Ford Taurus SES Duratec 4dr,Sedan,0,0,22735.0,20857.0,3.0,6.0,201.0,19.0,26.0,3313.0,109.0,198.0,73.0
