Name,Type,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,Horsepower(HP),City Miles Per Gallon,Highway Miles Per Gallon,Weight,Wheel Base,Len,Width
Ford Thunderbird Deluxe convert w/hardtop 2dr,Sports Car,0,0,37530.0,34483.0,3.9,8.0,280.0,17.0,24.0,3780.0,107.0,186.0,72.0
GMC Envoy XUV SLE,SUV,0,0,31890.0,28922.0,4.2,6.0,275.0,15.0,19.0,4945.0,129.0,208.0,75.0
GMC Safari SLE,Minivan,0,1,25640.0,23215.0,4.3,6.0,190.0,16.0,20.0,4309.0,111.0,190.0,78.0
GMC Yukon XL 2500 SLT,SUV,1,0,46265.0,40534.0,6.0,8.0,325.0,13.0,17.0,6133.0,130.0,219.0,79.0
Honda Accord EX 2dr,Sedan,0,0,22260.0,20080.0,2.4,4.0,160.0,26.0,34.0,3047.0,105.0,188.0,71.0
Honda Accord EX V6 2dr,Sedan,0,0,26960.0,24304.0,3.0,6.0,240.0,21.0,30.0,3294.0,105.0,188.0,71.0
Honda Accord LX 2dr,Sedan,0,0,19860.0,17924.0,2.4,4.0,160.0,26.0,34.0,2994.0,105.0,188.0,71.0
Honda Accord LX V6 4dr,Sedan,0,0,23760.0,21428.0,3.0,6.0,240.0,21.0,30.0,3349.0,108.0,190.0,72.0
Honda Civic DX 2dr,Sedan,0,0,13270.0,12175.0,1.7,4.0,115.0,32.0,38.0,2432.0,103.0,175.0,67.0
Honda Civic EX 4dr,Sedan,0,0,17750.0,16265.0,1.7,4.0,127.0,32.0,37.0,2601.0,103.0,175.0,68.0
Honda Civic HX 2dr,Sedan,0,0,14170.0,12996.0,1.7,4.0,117.0,36.0,44.0,2500.0,103.0,175.0,67.0
Honda Civic Hybrid 4dr manual (gas/electric),Sedan,0,0,20140.0,18451.0,1.4,4.0,93.0,46.0,51.0,2732.0,103.0,175.0,68.0
Honda Civic LX 4dr,Sedan,0,0,15850.0,14531.0,1.7,4.0,115.0,32.0,38.0,2513.0,103.0,175.0,68.0
Honda Civic Si 2dr hatch,Sedan,0,0,19490.0,17849.0,2.0,4.0,160.0,26.0,30.0,2782.0,101.0,166.0,67.0
Honda CR-V LX,SUV,1,0,19860.0,18419.0,2.4,4.0,160.0,21.0,25.0,3258.0,103.0,179.0,70.0
Honda Element LX,SUV,1,0,18690.0,17334.0,2.4,4.0,160.0,21.0,24.0,3468.0,101.0,167.0,72.0
Honda Insight 2dr (gas/electric),Sedan,0,0,19110.0,17911.0,2.0,3.0,73.0,60.0,66.0,1850.0,95.0,155.0,67.0
Honda Odyssey EX,Minivan,0,0,27450.0,24744.0,3.5,6.0,240.0,18.0,25.0,4365.0,118.0,201.0,76.0
Honda Odyssey LX,Minivan,0,0,24950.0,22498.0,3.5,6.0,240.0,18.0,25.0,4310.0,118.0,201.0,76.0
Honda Pilot LX,SUV,1,0,27560.0,24843.0,3.5,6.0,240.0,17.0,22.0,4387.0,106.0,188.0,77.0
Honda S2000 convertible 2dr,Sports Car,0,1,33260.0,29965.0,2.2,4.0,240.0,20.0,25.0,2835.0,95.0,162.0,69.0
Hummer H2,SUV,1,0,49995.0,45815.0,6.0,8.0,316.0,10.0,12.0,6400.0,123.0,190.0,81.0
Hyundai Accent 2dr hatch,Sedan,0,0,10539.0,10107.0,1.6,4.0,103.0,29.0,33.0,2255.0,96.0,167.0,66.0
Hyundai Accent GL 4dr,Sedan,0,0,11839.0,11116.0,1.6,4.0,103.0,29.0,33.0,2290.0,96.0,167.0,66.0
Hyundai Accent GT 2dr hatch,Sedan,0,0,11939.0,11209.0,1.6,4.0,103.0,29.0,33.0,2339.0,96.0,167.0,66.0
Hyundai Elantra GLS 4dr,Sedan,0,0,13839.0,12781.0,2.0,4.0,138.0,26.0,34.0,2635.0,103.0,178.0,68.0
Hyundai Elantra GT 4dr,Sedan,0,0,15389.0,14207.0,2.0,4.0,138.0,26.0,34.0,2635.0,103.0,178.0,68.0
Hyundai Elantra GT 4dr hatch,Sedan,0,0,15389.0,14207.0,2.0,4.0,138.0,26.0,34.0,2698.0,103.0,178.0,68.0
Hyundai Santa Fe GLS,SUV,0,0,21589.0,20201.0,2.7,6.0,173.0,19.0,21.0,3549.0,103.0,177.0,73.0
Hyundai Sonata GLS 4dr,Sedan,0,0,19339.0,17574.0,2.7,6.0,170.0,19.0,27.0,3217.0,106.0,187.0,72.0
Hyundai Sonata LX 4dr,Sedan,0,0,20339.0,18380.0,2.7,6.0,170.0,19.0,27.0,3217.0,106.0,187.0,72.0
Hyundai Tiburon GT V6 2dr,Sports Car,0,0,18739.0,17101.0,2.7,6.0,172.0,19.0,26.0,3023.0,100.0,173.0,69.0
Hyundai XG350 4dr,Sedan,0,0,24589.0,22055.0,3.5,6.0,194.0,17.0,26.0,3651.0,108.0,192.0,72.0
Hyundai XG350 L 4dr,Sedan,0,0,26189.0,23486.0,3.5,6.0,194.0,17.0,26.0,3651.0,108.0,192.0,72.0
Infiniti FX35,Wagon,0,1,34895.0,31756.0,3.5,6.0,280.0,16.0,22.0,4056.0,112.0,189.0,76.0
Infiniti FX45,Wagon,1,0,36395.0,33121.0,4.5,8.0,315.0,20.0,19.0,4309.0,112.0,189.0,76.0
Infiniti G35 4dr,Sedan,0,1,28495.0,26157.0,3.5,6.0,260.0,18.0,26.0,3336.0,112.0,187.0,69.0
Infiniti G35 4dr,Sedan,1,0,32445.0,29783.0,3.5,6.0,260.0,18.0,26.0,3677.0,112.0,187.0,69.0
Infiniti G35 Sport Coupe 2dr,Sedan,0,1,29795.0,27536.0,3.5,6.0,280.0,18.0,26.0,3416.0,112.0,182.0,72.0
Infiniti I35 4dr,Sedan,0,0,31145.0,28320.0,3.5,6.0,255.0,19.0,26.0,3306.0,108.0,194.0,70.0
Infiniti M45 4dr,Sedan,0,1,42845.0,38792.0,4.5,8.0,340.0,17.0,23.0,3851.0,110.0,197.0,70.0
Infiniti Q45 Luxury 4dr,Sedan,0,1,52545.0,47575.0,4.5,8.0,340.0,17.0,23.0,3977.0,113.0,200.0,73.0
Isuzu Ascender S,SUV,1,0,31849.0,29977.0,4.2,6.0,275.0,15.0,20.0,4967.0,129.0,208.0,76.0
Isuzu Rodeo S,SUV,0,0,20449.0,19261.0,3.2,6.0,193.0,17.0,21.0,3836.0,106.0,178.0,70.0
Jaguar S-Type 3.0 4dr,Sedan,0,1,43895.0,40004.0,3.0,6.0,235.0,18.0,26.0,3777.0,115.0,192.0,72.0
Jaguar S-Type 4.2 4dr,Sedan,0,1,49995.0,45556.0,4.2,8.0,294.0,18.0,28.0,3874.0,115.0,192.0,72.0
Jaguar S-Type R 4dr,Sedan,0,1,63120.0,57499.0,4.2,8.0,390.0,17.0,24.0,4046.0,115.0,192.0,72.0
Jaguar Vanden Plas 4dr,Sedan,0,1,68995.0,62846.0,4.2,8.0,294.0,18.0,28.0,3803.0,119.0,200.0,73.0
Jaguar XJ8 4dr,Sedan,0,1,59995.0,54656.0,4.2,8.0,294.0,18.0,28.0,3803.0,119.0,200.0,73.0
Jaguar XJR 4dr,Sedan,0,1,74995.0,68306.0,4.2,8.0,390.0,17.0,24.0,3948.0,119.0,200.0,73.0
Jaguar XK8 convertible 2dr,Sports Car,0,1,74995.0,68306.0,4.2,8.0,294.0,18.0,26.0,3980.0,102.0,187.0,71.0
Jaguar XK8 coupe 2dr,Sports Car,0,1,69995.0,63756.0,4.2,8.0,294.0,18.0,26.0,3779.0,102.0,187.0,71.0
Jaguar XKR convertible 2dr,Sports Car,0,1,86995.0,79226.0,4.2,8.0,390.0,16.0,23.0,4042.0,102.0,187.0,71.0
Jaguar XKR coupe 2dr,Sports Car,0,1,81995.0,74676.0,4.2,8.0,390.0,16.0,23.0,3865.0,102.0,187.0,71.0
Jaguar X-Type 2.5 4dr,Sedan,1,0,29995.0,27355.0,2.5,6.0,192.0,18.0,26.0,3428.0,107.0,184.0,70.0
Jaguar X-Type 3.0 4dr,Sedan,1,0,33995.0,30995.0,3.0,6.0,227.0,18.0,25.0,3516.0,107.0,184.0,70.0
Jeep Grand Cherokee Laredo,SUV,0,0,27905.0,25686.0,4.0,6.0,195.0,16.0,21.0,3790.0,106.0,181.0,72.0
Jeep Liberty Sport,SUV,1,0,20130.0,18973.0,2.4,4.0,150.0,20.0,24.0,3826.0,104.0,174.0,72.0
Jeep Wrangler Sahara convertible 2dr,SUV,1,0,25520.0,23275.0,4.0,6.0,190.0,16.0,19.0,3575.0,93.0,150.0,67.0
Kia Optima LX 4dr,Sedan,0,0,16040.0,14910.0,2.4,4.0,138.0,23.0,30.0,3281.0,106.0,186.0,72.0
Kia Optima LX V6 4dr,Sedan,0,0,18435.0,16850.0,2.7,6.0,170.0,20.0,27.0,3279.0,106.0,186.0,72.0
Kia Rio 4dr auto,Sedan,0,0,11155.0,10705.0,1.6,4.0,104.0,25.0,32.0,2458.0,95.0,167.0,66.0
Kia Rio 4dr manual,Sedan,0,0,10280.0,9875.0,1.6,4.0,104.0,26.0,33.0,2403.0,95.0,167.0,66.0
Kia Rio Cinco,Wagon,0,0,11905.0,11410.0,1.6,4.0,104.0,26.0,33.0,2447.0,95.0,167.0,66.0
Kia Sedona LX,Minivan,0,0,20615.0,19400.0,3.5,6.0,195.0,16.0,22.0,4802.0,115.0,194.0,75.0
Kia Sorento LX,SUV,0,0,19635.0,18630.0,3.5,6.0,192.0,16.0,19.0,4112.0,107.0,180.0,73.0
Kia Spectra 4dr,Sedan,0,0,12360.0,11630.0,1.8,4.0,124.0,24.0,32.0,2661.0,101.0,178.0,68.0
Kia Spectra GS 4dr hatch,Sedan,0,0,13580.0,12830.0,1.8,4.0,124.0,24.0,32.0,2686.0,101.0,178.0,68.0
Kia Spectra GSX 4dr hatch,Sedan,0,0,14630.0,13790.0,1.8,4.0,124.0,24.0,32.0,2697.0,101.0,178.0,68.0
Land Rover Discovery SE,SUV,1,0,39250.0,35777.0,4.6,8.0,217.0,12.0,16.0,4576.0,100.0,185.0,74.0
Land Rover Freelander SE,SUV,1,0,25995.0,23969.0,2.5,6.0,174.0,18.0,21.0,3577.0,101.0,175.0,71.0
Land Rover Range Rover HSE,SUV,1,0,72250.0,65807.0,4.4,8.0,282.0,12.0,16.0,5379.0,113.0,195.0,76.0
Lexus ES 330 4dr,Sedan,0,0,32350.0,28755.0,3.3,6.0,225.0,20.0,29.0,3460.0,107.0,191.0,71.0
Lexus GS 300 4dr,Sedan,0,1,41010.0,36196.0,3.0,6.0,220.0,18.0,25.0,3649.0,110.0,189.0,71.0
Lexus GS 430 4dr,Sedan,0,1,48450.0,42232.0,4.3,8.0,300.0,18.0,23.0,3715.0,110.0,189.0,71.0
Lexus GX 470,SUV,1,0,45700.0,39838.0,4.7,8.0,235.0,15.0,19.0,4740.0,110.0,188.0,74.0
Lexus IS 300 4dr auto,Sedan,0,1,32415.0,28611.0,3.0,6.0,215.0,18.0,24.0,3285.0,105.0,177.0,68.0
Lexus IS 300 4dr manual,Sedan,0,1,31045.0,27404.0,3.0,6.0,215.0,18.0,25.0,3255.0,105.0,177.0,68.0
Lexus IS 300 SportCross,Wagon,0,1,32455.0,28647.0,3.0,6.0,215.0,18.0,24.0,3410.0,105.0,177.0,68.0
Lexus LS 430 4dr,Sedan,0,1,55750.0,48583.0,4.3,8.0,290.0,18.0,25.0,3990.0,115.0,197.0,72.0
Lexus LX 470,SUV,1,0,64800.0,56455.0,4.7,8.0,235.0,13.0,17.0,5590.0,112.0,193.0,76.0
Lexus RX 330,SUV,1,0,39195.0,34576.0,3.3,6.0,230.0,18.0,24.0,4065.0,107.0,186.0,73.0
Lexus SC 430 convertible 2dr,Sports Car,0,1,63200.0,55063.0,4.3,8.0,300.0,18.0,23.0,3840.0,103.0,178.0,72.0
Lincoln Aviator Ultimate,SUV,0,0,42915.0,39443.0,4.6,8.0,302.0,13.0,18.0,4834.0,114.0,193.0,76.0
Lincoln LS V6 Luxury 4dr,Sedan,0,1,32495.0,29969.0,3.0,6.0,232.0,20.0,26.0,3681.0,115.0,194.0,73.0
Lincoln LS V6 Premium 4dr,Sedan,0,1,36895.0,33929.0,3.0,6.0,232.0,20.0,26.0,3681.0,115.0,194.0,73.0
Lincoln LS V8 Sport 4dr,Sedan,0,1,40095.0,36809.0,3.9,8.0,280.0,17.0,24.0,3768.0,115.0,194.0,73.0
Lincoln LS V8 Ultimate 4dr,Sedan,0,1,43495.0,39869.0,3.9,8.0,280.0,17.0,24.0,3768.0,115.0,194.0,73.0
Lincoln Navigator Luxury,SUV,1,0,52775.0,46360.0,5.4,8.0,300.0,13.0,18.0,5969.0,119.0,206.0,80.0
Lincoln Town Car Signature 4dr,Sedan,0,1,41815.0,38418.0,4.6,8.0,239.0,17.0,25.0,4369.0,118.0,215.0,78.0
Lincoln Town Car Ultimate 4dr,Sedan,0,1,44925.0,41217.0,4.6,8.0,239.0,17.0,25.0,4369.0,118.0,215.0,78.0
Lincoln Town Car Ultimate L 4dr,Sedan,0,1,50470.0,46208.0,4.6,8.0,239.0,17.0,25.0,4474.0,124.0,221.0,78.0
Mazda MPV ES,Minivan,0,0,28750.0,26600.0,3.0,6.0,200.0,18.0,25.0,3812.0,112.0,188.0,72.0
Mazda MX-5 Miata convertible 2dr,Sports Car,0,1,22388.0,20701.0,1.8,4.0,142.0,23.0,28.0,2387.0,89.0,156.0,66.0
Mazda MX-5 Miata LS convertible 2dr,Sports Car,0,1,25193.0,23285.0,1.8,4.0,142.0,23.0,28.0,2387.0,89.0,156.0,66.0
Mazda Tribute DX 2.0,SUV,1,0,21087.0,19742.0,2.0,4.0,130.0,22.0,25.0,3091.0,103.0,173.0,72.0
Mazda6 i 4dr,Sedan,0,0,19270.0,17817.0,2.3,4.0,160.0,24.0,32.0,3042.0,105.0,187.0,70.0
Mercedes-Benz C230 Sport 2dr,Sedan,0,1,26060.0,24249.0,1.8,4.0,189.0,22.0,30.0,3250.0,107.0,178.0,68.0
Mercedes-Benz C240,Wagon,0,1,33780.0,31466.0,2.6,6.0,168.0,19.0,25.0,3470.0,107.0,179.0,68.0
Mercedes-Benz C240 4dr,Sedan,0,1,32280.0,30071.0,2.6,6.0,168.0,20.0,25.0,3360.0,107.0,178.0,68.0
Mercedes-Benz C240 4dr,Sedan,1,0,33480.0,31187.0,2.6,6.0,168.0,19.0,25.0,3360.0,107.0,178.0,68.0
Mercedes-Benz C32 AMG 4dr,Sedan,0,1,52120.0,48522.0,3.2,6.0,349.0,16.0,21.0,3540.0,107.0,178.0,68.0
Mercedes-Benz C320 4dr,Sedan,0,1,37630.0,35046.0,3.2,9.0,215.0,20.0,26.0,3450.0,107.0,178.0,68.0
Mercedes-Benz C320 Sport 2dr,Sedan,0,1,28370.0,26435.0,3.2,6.0,215.0,19.0,26.0,3430.0,107.0,178.0,68.0
Mercedes-Benz C320 Sport 4dr,Sedan,0,1,35920.0,33456.0,3.2,6.0,215.0,19.0,26.0,3430.0,107.0,178.0,68.0
Mercedes-Benz CL500 2dr,Sedan,0,1,94820.0,88324.0,5.0,8.0,302.0,16.0,24.0,4085.0,114.0,196.0,73.0
Mercedes-Benz CL600 2dr,Sedan,0,1,128420.0,119600.0,5.5,12.0,493.0,13.0,19.0,4473.0,114.0,196.0,73.0
Mercedes-Benz CLK320 coupe 2dr (convertible),Sedan,0,1,45707.0,41966.0,3.2,6.0,215.0,20.0,26.0,3770.0,107.0,183.0,69.0
Mercedes-Benz CLK500 coupe 2dr (convertible),Sedan,0,1,52800.0,49104.0,5.0,8.0,302.0,17.0,22.0,3585.0,107.0,183.0,69.0
Mercedes-Benz E320,Wagon,0,1,50670.0,47174.0,3.2,6.0,221.0,19.0,27.0,3966.0,112.0,190.0,71.0
Mercedes-Benz E320 4dr,Sedan,0,1,48170.0,44849.0,3.2,6.0,221.0,19.0,27.0,3635.0,112.0,190.0,71.0
Mercedes-Benz E500,Wagon,1,0,60670.0,56474.0,5.0,8.0,302.0,16.0,24.0,4230.0,112.0,190.0,71.0
Mercedes-Benz E500 4dr,Sedan,0,1,57270.0,53382.0,5.0,8.0,302.0,16.0,20.0,3815.0,112.0,190.0,71.0
Mercedes-Benz G500,SUV,1,0,76870.0,71540.0,5.0,8.0,292.0,13.0,14.0,5423.0,112.0,186.0,71.0
Mercedes-Benz ML500,SUV,1,0,46470.0,43268.0,5.0,8.0,288.0,14.0,17.0,4874.0,111.0,183.0,72.0
Mercedes-Benz S430 4dr,Sedan,0,1,74320.0,69168.0,4.3,8.0,275.0,18.0,26.0,4160.0,122.0,203.0,73.0
Mercedes-Benz S500 4dr,Sedan,1,0,86970.0,80939.0,5.0,8.0,302.0,16.0,24.0,4390.0,122.0,203.0,73.0
Mercedes-Benz SL500 convertible 2dr,Sports Car,0,1,90520.0,84325.0,5.0,8.0,302.0,16.0,23.0,4065.0,101.0,179.0,72.0
Mercedes-Benz SL55 AMG 2dr,Sports Car,0,1,121770.0,113388.0,5.5,8.0,493.0,14.0,21.0,4235.0,101.0,179.0,72.0
Mercedes-Benz SL600 convertible 2dr,Sports Car,0,1,126670.0,117854.0,5.5,12.0,493.0,13.0,19.0,4429.0,101.0,179.0,72.0
Mercedes-Benz SLK230 convertible 2dr,Sports Car,0,1,40320.0,37548.0,2.3,4.0,192.0,21.0,29.0,3055.0,95.0,158.0,68.0
Mercedes-Benz SLK32 AMG 2dr,Sports Car,0,1,56170.0,52289.0,3.2,6.0,349.0,17.0,22.0,3220.0,95.0,158.0,68.0
Mercury Grand Marquis GS 4dr,Sedan,0,1,24695.0,23217.0,4.6,8.0,224.0,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Grand Marquis LS Premium 4dr,Sedan,0,1,29595.0,27148.0,4.6,8.0,224.0,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Grand Marquis LS Ultimate 4dr,Sedan,0,1,30895.0,28318.0,4.6,8.0,224.0,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Marauder 4dr,Sedan,0,1,34495.0,31558.0,4.6,8.0,302.0,17.0,23.0,4195.0,115.0,212.0,78.0
Mercury Monterey Luxury,Minivan,0,0,33995.0,30846.0,4.2,6.0,201.0,16.0,23.0,4340.0,121.0,202.0,77.0
Mercury Mountaineer,SUV,0,0,29995.0,27317.0,4.0,6.0,210.0,16.0,21.0,4374.0,114.0,190.0,72.0
Mercury Sable GS,Wagon,0,0,22595.0,20748.0,3.0,6.0,155.0,19.0,26.0,3488.0,109.0,198.0,73.0
